tag,batch,growout_site,region,length_mm,sample_status,tank,treatment,death,death_date,notes
B748,ULM-1-CCB,CCB,S,46,O,7,L,Y,10/19/2022,
B749,ULM-1-CCB,CCB,S,64,G,4,L,Y,10/19/2022,
B750,ULM-1-CCB,CCB,S,59,O,8,C,,,
B751,ULM-1-CCB,CCB,S,72,O,5,H,,,
B752,ULM-1-CCB,CCB,S,72,O,6,H,,,
B753,ULM-1-CCB,CCB,S,72,C,2,H,,,
B754,ULM-1-CCB,CCB,S,76,O,1,L,Y,10/18/2022,
B755,ULM-1-CCB,CCB,S,80,O,5,H,Y,10/30/2022,
B756,ULM-1-CCB,CCB,S,72,O,11,H,Y,10/24/2022,
B757,ULM-1-CCB,CCB,S,61,G,9,L,Y,10/19/2022,
B758,ULM-1-CCB,CCB,S,70,VSO,10,C,,,
B759,ULM-1-CCB,CCB,S,59,G,4,L,Y,10/18/2022,
B760,ULM-1-CCB,CCB,S,58,O,11,H,Y,11/1/2022,
B761,ULM-1-CCB,CCB,S,71,O,12,C,,,
B762,ULM-1-CCB,CCB,S,62,G,10,C,,,
B763,ULM-1-CCB,CCB,S,54,O,3,C,,,
B764,ULM-1-CCB,CCB,S,64,O,2,H,Y,11/2/2022,
B765,ULM-1-CCB,CCB,S,60,O,9,L,Y,10/19/2022,
B766,ULM-1-CCB,CCB,S,71,O,6,H,,,
B767,NNP-3-COP,COP,N,36,O,8,C,,,
B768,NNP-3-COP,COP,N,48,O,12,C,,,
B769,NNP-3-COP,COP,N,42,O,9,L,Y,10/23/2022,
B770,NNP-3-COP,COP,N,46,G,11,H,Y,10/19/2022,
B771,NNP-3-COP,COP,N,47,SO,1,L,Y,10/18/2022,
B772,NNP-3-COP,COP,N,42,G,2,H,Y,10/25/2022,
B773,NNP-3-COP,COP,N,58,G,9,L,Y,10/17/2022,
B774,NNP-3-COP,COP,N,45,SO,1,L,Y,10/18/2022,
B775,NNP-3-COP,COP,N,41,O,1,L,Y,10/24/2022,
B776,NNP-3-COP,COP,N,47,G,4,L,Y,10/17/2022,
B777,NNP-3-COP,COP,N,55,O,7,L,Y,10/17/2022,
B778,NNP-3-COP,COP,N,41,VSO,1,L,Y,10/18/2022,
B779,NNP-3-COP,COP,N,47,SO,4,L,Y,10/17/2022,
B780,NNP-3-COP,COP,N,51,VSO,6,H,Y,10/23/2022,
B781,NNP-3-COP,COP,N,36,G,2,H,Y,10/23/2022,
B782,NNP-3-COP,COP,N,50,VSO,10,C,Y,10/29/2022,
B783,NNP-3-COP,COP,N,59,G,8,C,,,
B784,NNP-3-COP,COP,N,57,O,2,H,Y,10/24/2022,
B785,NNP-3-COP,COP,N,54,VSO,3,C,,,
B786,NNP-3-COP,COP,N,42,O,6,H,Y,10/28/2022,
B787,NNP-3-COP,COP,N,44,G,7,L,Y,10/17/2022,
B788,NNP-3-COP,COP,N,43,SO,10,C,,,
B789,NNP-3-COP,COP,N,41,G,9,L,Y,10/18/2022,
B790,NNP-3-COP,COP,N,50,O,12,C,Y,10/24/2022,
B791,NNP-3-COP,COP,N,46,G,3,C,,,
B792,NNP-3-COP,COP,N,59,O,5,H,Y,10/17/2022,
B793,NNP-3-COP,COP,N,50,G,5,H,Y,10/23/2022,
B794,NNP-3-COP,COP,N,41,VSO,12,C,,,
B795,NNP-3-COP,COP,N,43,G,6,H,Y,10/23/2022,
B796,NNP-3-COP,COP,N,51,G,10,C,,,
B797,NNP-3-COP,COP,N,40,O,9,L,Y,10/23/2022,
B798,NNP-3-COP,COP,N,54,O,11,H,Y,10/21/2022,
B799,NNP-3-COP,COP,N,40,O,5,H,Y,10/23/2022,
B800,NNP-3-COP,COP,N,46,O,1,L,Y,10/16/2022,
B801,NNP-3-COP,COP,N,60,G,6,H,Y,10/20/2022,
B802,NNP-3-COP,COP,N,45,O,7,L,Y,10/17/2022,
B803,NNP-3-COP,COP,N,50,SO,7,L,Y,10/19/2022,
B804,NNP-3-COP,COP,N,,G,,,Y,9/20/2022,Dead before tank assignment
B805,NNP-3-COP,COP,N,39,O,8,C,,,
B806,NNP-3-COP,COP,N,39,SO,10,C,,,
B807,NNP-3-COP,COP,N,50,VSO,2,H,Y,10/19/2022,
B808,NNP-3-COP,COP,N,50,VSO,3,C,,,
B809,NNP-3-COP,COP,N,38,SO,5,H,Y,10/28/2022,
B810,NNP-3-COP,COP,N,46,O,11,H,Y,10/11/2022,
B811,NNP-3-COP,COP,N,52,SO,12,C,,,
B812,NNP-3-COP,COP,N,45,G,8,C,Y,11/4/2022,
B813,NNP-3-COP,COP,N,41,O,11,H,Y,10/27/2022,
B814,NNP-3-COP,COP,N,43,G,4,L,Y,10/25/2022,
B815,NNP-3-COP,COP,N,50,O,4,L,Y,10/16/2022,
B816,NNP-2-COP,COP,N,44,O,8,C,,,
B817,NNP-2-COP,COP,N,40,G,9,L,Y,10/21/2022,
